Produit;Objet;Fonction;Fichier source;Ligne;Type;Date;Heure;Durée;Message
TargetSelector;AppToolLog;Initialise;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\ApplicationTools\Classes\AppToolLog.cs;94;INFOS;14/07/2022;01:19:30.0127;2;Initialisation de l'objet de log
TargetSelector;AppToolLog;Initialise;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\ApplicationTools\Classes\AppToolLog.cs;95;INFOS;14/07/2022;01:19:30.0137;;Log FullPathName : C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\bin\Debug\Log_targetselector.csv
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;43;INFOS;14/07/2022;01:19:30.0147;;Fonction InitialisationFormulaire DEBUT
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;44;INFOS;14/07/2022;01:19:30.0157;;ProductName : TargetSelector
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;45;INFOS;14/07/2022;01:19:30.0217;;Version : 1.0.0.0
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;46;INFOS;14/07/2022;01:19:30.0227;;Application file : C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\bin\Debug\AstroTargetSelector.exe
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;47;INFOS;14/07/2022;01:19:30.0577;;Répertoire UserAppDataPath : C:\Users\miste\AppData\Roaming\AstroTargetSelector\TargetSelector\1.0.0.0
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;48;INFOS;14/07/2022;01:19:30.0577;;Répertoire StartupPath : C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\bin\Debug
TargetSelector;MainFenetre;InitialisationFormulaire;C:\Users\miste\Documents\DepotGitHub\Juani005999\AstroTargetSelector\AstroTargetSelector\MainFenetre.cs;51;INFOS;14/07/2022;01:19:30.0587;53;Fonction InitialisationFormulaire FIN
